"Age","StndL","Weight","Blubber.mass","BlubPercent","D1cm","L1cm","V1cm","D2cm","L2cm","V2cm","D3cm","L3cm","V3cm","D4cm","L4cm","V4cm","D5cm","L5cm","V5cm"
3.6,1.66,77,13.99,0.182,1.35,1.67,2.04,1.7,2.1,2.2,1.7,1.6,2.3,1.9,1.8,1.9,2.37,1.7,2.32
3.06,1.24,30.2,8.67,0.287,1.59,1.59,1.85,2,2,2,2,1.9,2,2,2,2,2.49,1.89,2.44
3.09,1.51,43.2,10.01,0.232,1.51,1.59,2.32,1.9,2,2.5,2,2,2.1,1.9,1.8,1.7,2.37,1.7,2.08
3.4,1.3,36.5,6.27,0.172,1.11,1.11,1.39,1.4,1.4,1.5,1.7,1.6,1.5,1.3,1.3,1.7,1.62,1.23,2.08
4.85,1.56,65.5,13.87,0.212,1.59,1.9,2.04,2,2.4,2.2,2.1,1.7,1.9,1.9,1.8,1.6,2.37,1.7,1.95
4.89,1.315,33.6,6.56,0.195,1.19,1.03,1.58,1.5,1.3,1.7,1.8,1.4,1.8,1.7,1.6,1.4,2.12,1.51,1.71
4.07,1.38,41.7,9.19,0.22,1.59,1.51,2.04,2,1.9,2.2,1.9,1.8,1.8,1.7,1.6,1.7,2.12,1.51,2.08
4.27,1.46,35.8,5.42,0.151,0.95,1.11,1.67,1.2,1.4,1.8,1.1,1.4,1.4,1.2,1.2,1.4,1.49,1.13,1.71
4.37,1.27,42,10.14,0.241,1.51,1.35,1.67,1.9,1.7,1.8,2.6,2.1,1.8,2,2,2.4,2.49,1.89,2.93
5.05,1.54,40.8,9.66,0.237,1.43,1.51,1.3,1.8,1.9,1.4,1.8,1.6,2,1.7,1.8,1.4,2.12,1.7,1.71
5.12,1.33,31,7.4,0.239,1.19,1.43,1.76,1.5,1.8,1.9,1.7,1.8,2,1.8,1.5,1.4,2.24,1.42,1.71
5.17,1.49,47.6,10.99,0.231,1.19,1.43,1.95,1.5,1.8,2.1,2,2,2.2,2,2,2,2.49,1.89,2.44
6.69,1.46,42.6,10.74,0.252,1.43,1.59,2.32,1.8,2,2.5,2,1.9,2.3,2.1,2,1.4,2.62,1.89,1.71
6.85,1.71,84.8,25.8,0.304,2.38,1.98,2.41,3,2.5,2.6,2.8,3,2.7,2.5,3,2,3.11,2.83,2.44
6.88,1.61,40,8.34,0.208,0.95,1.11,1.39,1.2,1.4,1.5,1.7,1.5,1.4,1.9,1.6,1.9,2.37,1.51,2.32
6.94,1.33,39.4,8.8,0.223,1.35,1.43,1.95,1.7,1.8,2.1,1.6,1.6,1.4,3,1.8,2,3.74,1.7,2.44
6.95,1.58,60.6,14.46,0.239,1.67,1.83,2.41,2.1,2.3,2.6,1.8,2,2.1,1.9,1.8,1.9,2.37,1.7,2.32
6.11,1.53,57.8,12.63,0.219,2.46,1.59,1.85,3.1,2,2,3.1,1.1,2,2.3,2.2,1,2.86,2.08,1.22
6.13,1.54,43.2,9.24,0.214,1.43,1.51,1.76,1.8,1.9,1.9,1.7,1.6,1.9,1.5,1.6,1,1.87,1.51,1.22
6.23,1.61,54.3,10.91,0.201,1.59,1.27,1.11,2,1.6,1.2,2,1.8,1.6,1.5,1.5,1.6,1.87,1.42,1.95
7.5,1.535,43.4,6.58,0.152,0.79,0.79,1.48,1,1,1.6,1.5,1.5,1.5,1.3,1.2,1.4,1.62,1.13,1.71
7.52,1.45,55,12.44,0.226,0.95,0.95,2.04,1.2,1.2,2.2,2.2,2.3,1.9,2.6,2.7,1.4,3.24,2.55,1.71
9.61,1.47,36.4,10.56,0.29,1.75,1.51,1.76,2.2,1.9,1.9,2.3,1.9,2,2.4,1.8,2,2.99,1.7,2.44
8.73,1.555,44.4,11.17,0.252,1.59,1.43,2.13,2,1.8,2.3,1.9,2.1,2.1,2.2,2,1.9,2.74,1.89,2.32
9.68,1.4,38,10.14,0.267,1.43,1.67,1.85,1.8,2.1,2,2.2,2,2,2,1.9,2,2.49,1.79,2.44
18.77,1.56,52,21.32,0.41,2.22,1.98,2.41,2.8,2.5,2.6,3.4,3.8,3,3.2,3.1,2.8,3.99,2.93,3.42
