"waterTemperature","swimSpeed","mass","storageLevel","meanThermo","sdThermo"
-5,0.94,30,0.12,253529.77105076,57543.6454582016
-5,0.94,30,0.2,47479.0601764219,30420.7786317192
-5,0.94,30,0.36,-92996.0278206681,16653.1540073469
-5,0.94,30,0.68,-173479.609380351,9394.35896638507
-5,0.94,40,0.05,939909.595775214,127451.970983613
-5,0.94,40,0.0525,892327.779737867,107863.926295147
-5,0.94,40,0.055,833262.478256416,113562.41591318
-5,0.94,40,0.06,755771.238564803,111081.154620821
-5,0.94,40,0.08,486511.605911532,87426.6793001829
-5,0.94,40,0.12,203540.130560334,51543.7056161453
-5,0.94,40,0.2,-6774.31530616291,33388.703017539
-5,0.94,40,0.36,-147410.753929354,18327.0370413951
-5,0.94,40,0.68,-231603.361322023,9393.12153383756
-5,0.94,50,0.05,927559.516585494,120583.459547754
-5,0.94,50,0.0525,866408.417960795,119515.893788533
-5,0.94,50,0.055,823073.521043932,122163.778288727
-5,0.94,50,0.06,716375.297925297,115870.613853613
-5,0.94,50,0.08,448223.674959142,86558.8671392066
-5,0.94,50,0.12,172048.830339449,50838.2675496472
-5,0.94,50,0.2,-54165.0037227312,32621.6430777227
-5,0.94,50,0.36,-198763.888568989,17691.39871832
-5,0.94,50,0.68,-290387.548436927,10006.1090870157
-5,0.94,60,0.05,896915.911702751,117073.09168194
-5,0.94,60,0.0525,837299.898057008,114671.13881403
-5,0.94,60,0.055,808713.92896107,118995.490027467
-5,0.94,60,0.06,716918.849011989,109642.493633177
-5,0.94,60,0.08,415075.307828163,79450.5107326837
-5,0.94,60,0.12,131027.14227261,55174.53646261
-5,0.94,60,0.2,-98151.3115856475,30977.1114664523
-5,0.94,60,0.36,-250514.769864996,20789.8129783164
-5,0.94,60,0.68,-343914.324797997,10723.7551219619
-5,0.94,70,0.05,876253.344079766,135674.181046495
-5,0.94,70,0.0525,825234.27674439,138021.675426273
-5,0.94,70,0.055,766115.954897507,119970.719116566
-5,0.94,70,0.06,669653.132175241,121813.404509823
-5,0.94,70,0.08,367655.820063797,77143.7546991891
-5,0.94,70,0.12,87224.2277218941,61480.3305011751
-5,0.94,70,0.2,-144612.904038966,33248.247343361
-5,0.94,70,0.36,-301815.57343459,19738.2081214445
